,title,runtime,mpaa_rating,theatrical_release,director,actor,plot
90,The Fighter,115,R,2010-12-10,David O. Russell,"Christian Bale, Mark Wahlberg, Amy Adams, Melissa Leo, Jack McGee","The Fighter is a drama about boxer ""Irish"" Micky Ward's unlikely road to the world light welterweight title. His Rocky-like rise was shepherded by half-brother Dicky, a boxer-turned-trainer on the verge of being KO'd by drugs and crime."
91,The Ghost Writer,68,PG-13,2010-02-19,"Herve de Luze, Roman Polanski","Ewan McGregor, Pierce Brosnan, Kim Cattrall, Olivia Williams, Tom Wilkinson",A ghostwriter hired to complete the memoirs of a former British prime minister uncovers secrets that put his own life in jeopardy.
92,The Girl Who Kicked the Hornet's Nest,148,R,2010-10-29,Daniel Alfredson,"Michael Nyqvist, Noomi Rapace, Annika Hallin, Per Oscarsson, Lena Endre","After taking a bullet to the head, Salander is under close supervision in a hospital and is set to face trial for attempted murder on her eventual release. With the help of journalist Mikael Blomkvist and his researchers at Millennium magazine, Salander must prove her innocence. In doing this she plays against powerful enemies and her own past."
93,The Girl Who Played with Fire (Flickan som lekte med elden),130,R,2010-07-09,Daniel Alfredson,"Michael Nyqvist, Noomi Rapace, Annika Hallin, Alexandra Eisenstein, Lena Endre","Mikael Blomkvist, publisher of Millennium magazine, has made his living exposing the crooked and corrupt practices of establishment Swedish figures. So when a young journalist approaches him with a meticulously researched thesis about sex trafficking in Sweden and those in high office who abuse underage girls, Blomkvist immediately throws himself into the investigation."
94,The Joneses,93,R,2010-04-16,Derrick Borte,"David Duchovny, Demi Moore, Amber Heard, Gary Cole, Glenne Headly","A seemingly perfect family moves into a suburban neighborhood, but when it comes to the truth as to why they're living there, they don't exactly come clean with their neighbors."
95,The Karate Kid,140,PG,2010-06-11,Harald Zwart,"Jaden Smith, Jackie Chan, Taraji P. Henson, Zhenwei Wang, Han Wenwen","Daniel and his mother move from New Jersey to California. She has a wonderful new job, but Daniel quickly discovers that a dark haired Italian boy with a Jersey accent doesn't fit into the blond surfer crowd. Daniel manages to talk his way out of some fights, but he is finally cornered by several who belong to the same karate school. As Daniel is passing out from the beating he sees Miyagi, the elderly gardener leaps into the fray and save him by outfighting half a dozen teenagers. Miyagi and Daniel soon find out the real motivator behind the boys' violent attitude in the form of their karate teacher. Miyagi promises to teach Daniel karate and arranges a fight at the all-valley tournament some months off. When his training begins, Daniel doesn't understand what he is being shown. Miyagi seems more interested in having Daniel paint fences and wax cars than teaching him Karate."
96,The Kids Are All Right,104,R,2010-07-09,Lisa Cholodenko,"Julianne Moore, Annette Bening, Mark Ruffalo, Mia Wasikowska, Josh Hutcherson","Nic and Jules are in a long term, committed, loving but by no means perfect same-sex relationship. Nic, a physician, needs to wield what she believes is control, whereas Jules, under that control, is less self-assured. During their relationship, Jules has floundered in her ""nine to five"" life, sometimes trying to start a business - always unsuccessfully - or being the stay-at-home mom. She is currently trying to start a landscape design business. They have two teen-aged children, Joni (conceived by Nic) and Laser (by Jules). Although not exact replicas, each offspring does more closely resemble his/her biological mother in temperament. Joni and Laser are also half-siblings, having the same unknown sperm donor father. Shortly after Joni's eighteenth birthday and shortly before she plans to leave the house and head off to college, Laser, only fifteen and underage to do so, pleads with her to try and contact their sperm donor father. Somewhat reluctantly, she does. He is late thirty-something Paul, a co-op farmer and restaurateur. Despite his seemingly successful businesses, Paul has always shirked responsibility, most specifically in his personal life. After Joni and Laser meet with Paul, Nic and Jules learn what their children have done and, although they don't want Paul infiltrating their lives, want to meet him - especially as Joni and Laser seem to want to maintain some sort of relationship with him. As Paul's relationship with the entire family grows (which includes his hiring Jules to design and construct his backyard), they have an effect on what he wants in life. In turn, he affects their family dynamic as well as each person's relationships outside of it."
97,The King's Speech,118,PG-13,2010-11-26,Tom Hooper,"Colin Firth, Helena Bonham Carter, Geoffrey Rush, Derek Jacobi, Guy Pearce","Tells the story of the man who became King George VI, the father of Queen Elizabeth II. After his brother abdicates, George ('Bertie') reluctantly assumes the throne. Plagued by a dreaded stammer and considered unfit to be king, Bertie engages the help of an unorthodox speech therapist named Lionel Logue. Through a set of unexpected techniques, and as a result of an unlikely friendship, Bertie is able to find his voice and boldly lead the country through war."
98,The Lightkeepers,96,PG,2010-03-19,Daniel Adams,"Richard Dreyfuss, Blythe Danner, Tom Wisdom, Mamie Gummer, Bruce Dern","Set in the year 1912 on Cape Cod, a lighthouse keeper who has disavowed any association with females, must deal with the appearance of two attractive women who move into a nearby cottage for the summer."
99,The Next Three Days,133,PG-13,2010-11-19,Paul Haggis,"Russell Crowe, Elizabeth Banks, Liam Neeson, Olivia Wilde, Brian Dennehy","Lara Brennan is arrested for murdering her boss with whom she had an argument. It seems she was seen leaving the scene of the crime and her fingerprints were on the murder weapon. Her husband, John would spend the next few years trying to get her released, but there's no evidence that negates the evidence against her. And when the strain of being separated from her family, especially her son, gets to her, John decides to break her out. So he does a lot of research to find a way."
100,Nutcracker in 3D,110,PG,2010-11-24,Andrei Konchalovsky,"Elle Fanning, Nathan Lane, Frances De La Tour, John Turturro, Richard E. Grant","1920s Vienna. Nine-year-old Mary lives in a home filled with lovely things and loneliness. Bothered by bratty brother Max and neglected by well intentioned, but distracted, parents, she yearns for companionship and adventure. On Christmas Eve, Mary's beloved Uncle Albert arrives with the gift of a wooden nutcracker doll. Later that night, Mary's imagination brings the doll to life. Introducing himself as ""NC,"" he takes her on a wondrous journey through a stunning dimension where toys assume human form and everything appears ten times larger. But danger lurks. An army of toothy rat creatures, led by the flamboyant Rat King and his devious mother, has unleashed a plot to overthrow humanity. When NC is captured and placed under a paralytic spell, Mary, Max and a spirited band of toy sidekicks must rescue him from the Rat King's clutches and thwart his wicked plans to 'ratify' the world."
101,The Social Network,120,PG-13,2010-10-01,David Fincher,"Jesse Eisenberg, Andrew Garfield, Justin Timberlake, Armie Hammer, Max Minghella","On a fall night in 2003, Harvard undergrad and computer programming genius Mark Zuckerberg sits down at his computer and heatedly begins working on a new idea. In a fury of blogging and programming, what begins in his dorm room soon becomes a global social network and a revolution in communication. A mere six years and 500 million friends later, Mark Zuckerberg is the youngest billionaire in history... but for this entrepreneur, success leads to both personal and legal complications."
102,The Spy Next Door,94,PG,2010-01-15,Brian Levant,"Jackie Chan, Amber Valletta, Madeline Carroll, Will Shadley, Alina Foley","Former CIA spy Bob Ho takes on his toughest assignment to date: looking after his girlfriend's three kids, who haven't exactly warmed to their mom's beau."
103,The Switch,101,PG-13,2010-08-20,"Josh Gordon, Will Speck","Jennifer Aniston, Jason Bateman, Patrick Wilson, Jeff Goldblum, Juliette Lewis","Kassie (Jennifer Aniston) and Wally (Jason Bateman) are best friends. Being unlucky in love, Kassie has decided to have a child using artificial insemination. Wally doesn't like this idea, but he isn't capable of admitting to himself, let alone to Kassie, that he's in love with her. At Kassie's artificial insemination party, Wally gets very drunk and spies the sperm donor's sample in the bathroom. Wally was way too drunk to know what he did that night, and Kassie has moved away because she doesn't feel that New York City is a place to raise a child. Now 7 years later, Kassie has moved back with her son Sebastian. While she is looking to get Roland (the sperm donor) more involved in their lives, Wally can't help but notice the many striking similarities that he and Sebastian share."
104,The Tempest,110,PG-13,2010-12-10,Julie Taymor,"Helen Mirren, Felicity Jones, Djimon Hounsou, Ben Whishaw","In Julie Taymor's version of 'The Tempest,' the main character is now a woman named Prospera. Going back to the 16th or 17th century, women practicing the magical arts of alchemy were often convicted of witchcraft. In Taymor's version, Prospera is usurped by her brother and sent off with her four-year daughter on a ship. She ends up on an island; it's a tabula rasa: no society, so the mother figure becomes a father figure to Miranda. This leads to the power struggle and balance between Caliban and Prospera; a struggle not about brawn, but about intellect."
105,The Tourist,103,PG-13,2010-12-10,Florian Henckel von Donnersmarck,"Johnny Depp, Paul Bettany, Timothy Dalton, Steven Berkoff, Angelina Jolie","Revolves around Frank, an American tourist visiting Italy to mend a broken heart. Elise is an extraordinary woman who deliberately crosses his path."
106,The Town,151,R,2010-09-17,Ben Affleck,"Ben Affleck, Rebecca Hall, Jon Hamm, Jeremy Renner, Blake Lively","As he plans his next job, a longtime thief tries to balance his feelings for a bank manager connected to one of his earlier heists, as well as the FBI agent looking to bring him and his crew down."
107,The Trotsky,113,Unrated,2010-05-05,Jacob Tierney,"Jay Baruchel, Colm Feore, Emily Hampshire, Domini Blythe, Saul Rubinek","Leon Bronstein is not your average Montreal West high school student. For one thing, none of his peers can claim to be the reincarnation of early 20th century Soviet iconoclast and Red Army hero, Leon Trotsky. When his father sends Leon to public school as punishment for starting a hunger strike at Papa's clothing factory, Leon quickly lends new meaning to the term 'student union', determined as he is to live out his pre-ordained destiny to the fullest and change the world."
108,The Warrior's Way,100,R,2010-12-03,Sngmoo Lee,"Jang Dong Gun, Danny Huston, Geoffrey Rush, Kate Bosworth, Tony Cox","Yang, the world's finest swordsman, packs it in and leaves Japan to find an old friend in the Wild West rather than kill the infant queen of a rival clan. He carries the baby to his friend's desolate, broken-down town; the friend has died, so Yang reopens a laundry and settles down, hanging wet clothes, growing flowers, raising the infant, and finding himself attracted to Lynne, a red-haired woman with a tragic past. As long as Yang keeps his sword sheathed, his rivals won't find him, but a band of reprobate gunmen terrorize the town and threaten Lynne. Showdowns are inevitable, but once the sword is drawn, can Yang find rest, a home, and a family?"
109,The Wolfman,103,R,2010-02-12,Joe Johnston,"Anthony Hopkins, Emily Blunt, Art Malik, Simon Merrells, Benicio Del Toro","Lawrence Talbot's childhood ended the night his mother died. His father sent him from the sleepy Victorian hamlet of Blackmoor to an insane asylum, then he goes to America. When his brother's fiancée, Gwen Conliffe, tracks him down to help find her missing love, Talbot returns to his father's estate to learn that his brother's mauled body has been found. Reunited with his estranged father, Lawrence sets out to find his brother's killer... and discovers a horrifying destiny for himself. Someone or something with brute strength and insatiable blood lust has been killing the villagers, and a suspicious Scotland Yard inspector named Aberline comes to investigate."
110,The Tooth Fairy,101,PG,2010-01-22,"Michael Lembeck, Babaloo Mandel","Dwayne Johnson, Ashley Judd, Stephen Merchant, Ryan Sheckler, Seth MacFarlane","Darcy Wagner and her ten-and-a-half-year-old daughter Pamela ""Pammy"" are heading to the bred and breakfast of her boyfriend Peter Campbell in the River Bend Road in Northern California. Peter has quited his career of doctor and bought an old house to have a calmer life and write a book. When Darcy stops at a gas station to ask for direction, she has an abusive treatment from the owners, the Hammond Brothers. Meanwhile Peter welcomes his first guest, the student Stephanie ""Star"" Roberts, while he works with his friend Bobby Boulet repairing the house. When Darcy and Pamela arrive, he explains that he had a dispute in the justice with the Hammond Brothers and asks Darcy to forget the incident. Soon Pamela befriends the girl Emma in the barn and she tells that the house belonged to the Tooth Fairy Witch that killed many children to get their milk-teeth; further, Pamela would be in danger since she still has her last milk-tooth. Pamela tells Emma's story to her mother and Peter, but they do not believe in her. But when their friends are slaughtered in the house, Darcy and Peter start to believe that something supernatural is happening in the house."
111,Toy Story 3,103,G,2010-06-18,Lee Unkrich,"Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty, Don Rickles","Woody, Buzz and the whole gang are back. As their owner Andy prepares to depart for college, his loyal toys find themselves in daycare where untamed tots with their sticky little fingers do not play nice. So, it's all for one and one for all as they join Barbie's counterpart Ken, a thespian hedgehog named Mr. Pricklepants and a pink, strawberry-scented teddy bear called Lots-o'-Huggin' Bear to plan their great escape."
112,Tron Legacy,125,PG,2010-12-17,"Joseph Kosinski, John Lasseter","Jeff Bridges, Garrett Hedlund, Olivia Wilde, Bruce Boxleitner, James Frain","Sam Flynn, the tech-savvy 27-year-old son of Kevin Flynn, looks into his father's disappearance and finds himself pulled into the same world of fierce programs and gladiatorial games where his father has been living for 20 years. Along with Kevin's loyal confidant Quorra, father and son embark on a life-and-death journey across a visually-stunning cyber universe that has become far more advanced and exceedingly dangerous. Meanwhile, the malevolent program CLU, who dominates the digital world, plans to invade the real world and will stop at nothing to prevent their escape."
113,True Grit,110,PG-13,2010-12-22,"Joel Coen, Ethan Coen","Hailee Steinfeld, Jeff Bridges, Matt Damon, Josh Brolin, Barry Pepper","Following the murder of her father by hired hand Tom Chaney, 14-year-old farm girl Mattie Ross sets out to capture the killer. To aid her, she hires the toughest U.S. marshal she can find, a man with ""true grit,"" Reuben J. ""Rooster"" Cogburn. Mattie insists on accompanying Cogburn, whose drinking, sloth, and generally reprobate character do not augment her faith in him. Against his wishes, she joins him in his trek into the Indian Nations in search of Chaney. They are joined by Texas Ranger LaBoeuf, who wants Chaney for his own purposes. The unlikely trio find danger and surprises on the journey, and each has his or her ""grit"" tested."
114,Twelve,93,R,2010-08-06,"Steven Fierberg, Joel Schumacher","Chace Crawford, Rory Culkin, 50 Cent, Anthony Quarles, Jeremy Allen White","A young drug dealer watches as his high-rolling life is dismantled in the wake of his cousin's murder, which sees his best friend arrested for the crime."
115,Unstoppable,98,PG-13,2010-11-12,Tony Scott,"Denzel Washington, Chris Pine, Rosario Dawson, Ethan Suplee, Kevin Dunn","With an unmanned, half-mile-long freight train barreling toward a city, a veteran engineer and a young conductor race against the clock to prevent a catastrophe."
116,Valentine's Day,123,PG-13,2010-02-12,Garry Marshall,"Jessica Alba, Bradley Cooper, Kathy Bates, Jessica Biel, Julia Roberts",Intertwining couples and singles in Los Angeles break-up and make-up based on the pressures and expectations of Valentine's Day.
117,Wall Street: Money Never Sleeps,133,PG-13,2010-09-24,Oliver Stone,"Shia LaBeouf, Michael Douglas, Carey Mulligan, Josh Brolin, Eli Wallach","As the global economy teeters on the brink of disaster, a young Wall Street trader partners with disgraced former Wall Street corporate raider Gordon Gekko on a two-tiered mission: To alert the financial community to the coming doom, and to find out who was responsible for the death of the young trader's mentor."
118,What If...,118,PG,2010-08-20,Dallas Jenkins,"Kevin Sorbo, Kristy Swanson, John Ratzenberger, Debby Ryan, Kristin Minter","Athens, Greece, The age of Economic crisis. Demetris is a highly independent man, living a normal life. A confirmed bachelor at the age of 33! When the moment arrives, his choice will change everything. His roommate is a female German Shepherd called Lonesome. One night, Lonesome wants to be taken out. Demetris tries to change her mind but Lonesome insists Its at this moment that he comes to a decision. If Demetris goes out he will meet Christina, the love of his life. If he stays in, he will not meet her. Does true love exist? What is the impact of a severe economic crisis on people and how can the crisis destroy a couple? One story shown from two different angles."
119,Why Did I Get Married Too,120,PG-13,2010-04-02,"Tyler Perry, Toyomichi Kurita","Tyler Perry, Janet Jackson, Jill Scott, Sharon Leal, Malik Yoba",Four couples reunite for their annual vacation in order to socialize and to spend time analyzing their marriages. Their intimate week in the Bahamas is disrupted by the arrival of an ex-husband determined to win back his recently remarried wife.
120,Wild Grass (Les Herbes Folles),104,PG,2010-06-25,Alain Resnais,"Andre Dussollier, Sabine Azema, Anne Consigny, Emmanuelle Devos, Mathieu Amalric","A wallet lost and found opens the door to romantic adventure for Georges and Marguerite. After examining the ID papers of its owner, it is not a simple matter for Georges to turn the red wallet he found in to the police. Nor is it that Marguerite can recuperate her wallet without being piqued with curiosity about whom it was who found it. As they navigate the social protocols of giving and acknowledging thanks, turbulence enters their otherwise quotidian lives."
121,Winter's Bone,99,R,2010-06-11,Debra Granik,"Jennifer Lawrence, John Hawkes, Kevin Breznahan, Dale Dickey, Garret Dillahunt",An unflinching Ozark Mountain girl hacks through dangerous social terrain as she hunts down her drug-dealing father while trying to keep her family intact.
122,Wonderful World,89,R,2010-01-08,Joshua Goldin,"Matthew Broderick, Michael K. Williams, Sanaa Lathan, Philip Baker Hall, Jodelle Ferland","Ben is a failed children's folk singer and less-than-extraordinary weekend dad. Deeply cynical, Ben's sole pleasure in life is derived from chess games with his Senegalese roommate Ibou. When Ibou is suddenly struck ill and an insensitive municipal employee exacerbates the emergency situation, Ben's pessimistic world view seems unequivocally confirmed. But when Ibou's sister Khadi takes his place in their apartment, what starts as an awkward living arrangement becomes something more, and Ben finds that cynicism may be all a matter of perspective."
123,Youth in Revolt,90,R,2010-01-08,Miguel Arteta,"Michael Cera, Portia Doubleday, Adhir Kalyan, Jean Smart, Erik Knudsen","At 16, Nick Twisp is wry about his teen funk: he lives in Oakland with his sex-addled mother; his father's child support is her meal ticket. While camping in Ukiah, Nick meets Sheeni: for him, it's love at first sight. Nick has to figure out how to get his father a job in Ukiah, then how to get sent to live with his father, then how to get close to Sheeni, whose religious parents may want her sent away from temptation to a boarding school. There's also Sheeni's all-American boyfriend to contend with. Overwhelmed by the challenges, Nick's about to give up when he conjures an alter ego who whispers revolt into his ear. Nick is not altogether hapless, but can this end well?"
124,500 Days of Summer,95,PG-13,2009-07-17,Marc Webb,"Joseph Gordon-Levitt, Zooey Deschanel, Geoffrey Arend, Chloe Grace Moretz, Matthew Gray Gubler","After it looks as if she's left his life for good this time, Tom Hansen reflects back on the just over one year that he knew Summer Finn. For Tom, it was love at first sight when she walked into the greeting card company where he worked, she the new administrative assistant. Soon, Tom knew that Summer was the woman with whom he wanted to spend the rest of his life. Although Summer did not believe in relationships or boyfriends - in her assertion, real life will always ultimately get in the way - Tom and Summer became more than just friends. Through the trials and tribulations of Tom and Summer's so-called relationship, Tom could always count on the advice of his two best friends, McKenzie and Paul. However, it is Tom's adolescent sister, Rachel, who is his voice of reason. After all is said and done, Tom is the one who ultimately has to make the choice to listen or not."
125,Disney's A Christmas Carol,96,PG,2009-11-06,Robert Zemeckis,"Jim Carrey, Bob Hoskins, Gary Oldman, Colin Firth, Leslie Zemeckis","Miser Ebenezer Scrooge is awakened on Christmas Eve by spirits who reveal to him his own miserable existence, what opportunities he wasted in his youth, his current cruelties, and the dire fate that awaits him if he does not change his ways. Scrooge is faced with his own story of growing bitterness and meanness, and must decide what his own future will hold: death or redemption."
126,A Perfect Getaway,97,R,2009-08-07,David Twohy,"Steve Zahn, Timothy Olyphant, Milla Jovovich, Kiele Sanchez, Marley Shelton","For their honeymoon, newlyweds Cliff and Cydney head to the tropical islands of Hawaii. While journeying through the paradisaical countryside the couple encounters Kale and Cleo, two disgruntled hitchhikers and Nick and Gina, two wild but well-meaning spirits who help guide them through the lush jungles. The picturesque waterfalls and scenic mountainsides quickly give way to terror when Cliff and Cydney learn of a grisly murder that occurred nearby and realize that they're being followed by chance acquaintances that suspiciously fit the description of the killers."
127,A Serious Man,106,R,2009-10-02,"Roger A. Deakins, Joel Coen","Michael Stuhlbarg, Richard Kind, Fred Melamed, Sari Lennick, Amy Landecker","Bloomington, Minnesota, 1967: Jewish physics lecturer Larry Gopnik is a serious and a very put-upon man. His daughter is stealing from him to save up for a nose job, his pot-head son, who gets stoned at his own bar-mitzvah, only wants him round to fix the TV aerial and his useless brother Arthur is an unwelcome house guest. But both Arthur and Larry get turfed out into a motel when Larry's wife Judy, who wants a divorce, moves her lover, Sy, into the house and even after Sy's death in a car crash they are still there. With lawyers' bills mounting for his divorce, Arthur's criminal court appearances and a land feud with a neighbour Larry is tempted to take the bribe offered by a student to give him an illegal exam pass mark. And the rabbis he visits for advice only dole out platitudes. Still God moves in mysterious - and not always pleasant - ways, as Larry and his family will find out."
128,A Single Man,101,R,2009-12-11,Tom Ford,"Colin Firth, Julianne Moore, Matthew Goode, Nicholas Hoult, Ginnifer Goodwin","It's November 30, 1962. Native Brit George Falconer, an English professor at a Los Angeles area college, is finding it difficult to cope with life. Jim, his personal partner of sixteen years, died in a car accident eight months earlier when he was visiting with family. Jim's family were not going to tell George of the death or accident, let alone allow him to attend the funeral. This day, George has decided to get his affairs in order before he will commit suicide that evening. As he routinely and fastidiously prepares for the suicide and post suicide, George reminisces about his life with Jim. But George spends this day with various people, who see a man sadder than usual and who affect his own thoughts about what he is going to do. Those people include Carlos, a Spanish immigrant/aspiring actor/gigolo recently arrived in Los Angeles; Charley, his best friend who he knew from England, she who is a drama queen of a woman who romantically desires her best friend despite his sexual orientation; and Kenny Potter, one of his students, who seems to be curious about his professor beyond English class."
129,An Education,101,PG-13,2009-10-09,Lone Scherfig,"Carey Mulligan, Alfred Molina, Dominic Cooper, Rosamund Pike, Peter Sarsgaard","In the early 1960's, sixteen year old Jenny Mellor lives with her parents in the London suburb of Twickenham. On her father's wishes, everything that Jenny does is in the sole pursuit of being accepted into Oxford, as he wants her to have a better life than he. Jenny is bright, pretty, hard working but also naturally gifted. The only problems her father may perceive in her life is her issue with learning Latin, and her dating a boy named Graham, who is nice but socially awkward. Jenny's life changes after she meets David Goldman, a man over twice her age. David goes out of his way to show Jenny and her family that his interest in her is not improper and that he wants solely to expose her to cultural activities which she enjoys. Jenny quickly gets accustomed to the life to which David and his constant companions, Danny and Helen, have shown her, and Jenny and David's relationship does move into becoming a romantic one. However, Jenny slowly learns more about David, and by association Danny and Helen, and specifically how they make their money. Jenny has to decide if what she learns about them and leading such a life is worth forgoing her plans of higher eduction at Oxford."
130,Antichrist,104,Unrated,2009-10-23,Lars von Trier,"Charlotte Gainsbourg, Willem Dafoe, Storm Acheche Sahlstrom","A couple lose their young son when he falls out of a window while they are having sex in another room. The mother's grief consigns her to hospital, but her therapist husband brings her home intent on treating her depression himself. To confront her fears they go to stay at their remote cabin in the woods, ""Eden"", where something untold happened the previous summer. Told in four chapters with a prologue and epilogue, the film details acts of lustful cruelty as the man and woman unfold the darker side of nature outside and within."
131,Astro Boy (AstroBoy),94,PG,2009-10-23,David Bowers,"Freddie Highmore, Nicolas Cage, Kristen Bell, Nathan Lane, Eugene Levy","Set in futuristic Metro City, Astro Boy is about a young robot with incredible powers created by a brilliant scientist in the image of the son he has lost. Unable to fulfill the grieving man's expectations, our hero embarks on a journey in search of acceptance, experiencing betrayal and a netherworld of robot gladiators, before he returns to save Metro City and reconcile with the father who had rejected him."
132,Avatar,162,PG-13,2009-12-18,James Cameron,"Zoe Saldana, Sam Worthington, Sigourney Weaver, Stephen Lang, Michelle Rodriguez",A paraplegic marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.
133,Away We Go,98,R,2009-06-05,Sam Mendes,"John Krasinski, Maya Rudolph, Carmen Ejogo, Jeff Daniels, Jim Gaffigan","A couple who is expecting their first child travel around the U.S. in order to find a perfect place to start their family. Along the way, they have misadventures and find fresh connections with an assortment of relatives and old friends who just might help them discover ""home"" on their own terms for the first time."
134,Bright Star,119,PG,2009-05-15,Jane Campion,"Ben Whishaw, Abbie Cornish, Paul Schneider, Kerry Fox, Edie Martin","It's 1818 in Hampstead Village on the outskirts of London. Poet Charles Brown lives in one half of a house, the Dilkes family who live in the other half. Through their association with the Dilkes, the fatherless Brawne family know Mr. Brown. The Brawne's eldest daughter, Fanny Brawne, and Mr. Brown don't like each other. She thinks he's arrogant and rude, and he feels that she is pretentious, knowing only how to sew (admittedly well as she makes all her own fashionable clothes), flirt and give opinions on subjects about which she knows nothing. Insecure struggling poet John Keats comes to live with his friend, Mr. Brown. Miss Brawne and Mr. Keats have a mutual attraction to each other, a relationship which however is slow to develop in part since Mr. Brown does whatever he can to keep the two apart. But other obstacles face the couple, including their eventual overwhelming passion for each other clouding their view of what the other does, Mr. Keats' struggling career which offers him little in the way of monetary security (which will lead to Mrs. Brawne not giving consent for them to marry), and health issues which had earlier taken the life of Mr. Keats' brother, Tom."
135,Broken Embraces,128,R,2009-11-20,Pedro Almodovar,"Blanca Portillo, Jose Luis Gomez, Ruben Ochandiano, Tamar Novas, Angela Molina","Harry Caine, a blind writer, reaches this moment in time when he has to heal his wounds from 14 years back. He was then still known by his real name, Mateo Blanco, and directing his last movie."
136,Bronson,92,R,2009-10-09,Nicolas Winding Refn,"Tom Hardy, Jonathan Phillips, Matt King, Hugh Ross","A young man who was sentenced to seven years in prison for robbing a post office ends up spending three decades in solitary confinement. During this time, his own personality is supplanted by his alter-ego, Charles Bronson."
137,Carriers,84,PG-13,2009-09-04,"David Pastor, Alex Pastor","Lou Taylor Pucci, Chris Pine, Piper Perabo, Emily VanCamp, Christopher Meloni","In a world devastated by an outbreak, Brian, his girlfriend Bobby, his brother Danny and their friend, Kate, are heading to a beach where the brothers spent their childhood vacations expecting it to be a sanctuary. When their car breaks down on the road in the desert, they negotiate with a man called Frank, who is also stranded but without gas. He is trying to get his daughter Jodie to the hospital (she is infected with a disease of some kind), they all decide to travel together. During the journey, massive moral dilemmas arise, as events head into a downward spiral."
138,Kirschbluten - Hanami (Cherry Blossoms),124,Unrated,2008-02-11,Doris Dorrie,"Elmar Wepper, Hannelore Elsner, Aya Irizuki, Nadja Uhl, Birgit Minichmayr","When Trudi learns that her husband Rudi is dangerously ill, she suggests visiting their children in Berlin without telling him the truth. As Franzi and Karl don't care much about their parents, Trudi and Rudi go to the Baltic Sea, where Trudi suddenly dies. Rudi is thrown out of gear, even more when he learns that his wife wanted to live a totally different life in Japan..."
139,Cheri,92,R,2009-06-26,Stephen Frears,"Michelle Pfeiffer, Rupert Friend, Kathy Bates, Felicity Jones, Iben Hjejle","During France's belle époque before World War I, elegant cars, mansions, and servants defined the lives of les grandes horizontals, the courtesans of kings and millionaires. One of the most successful, Lea de Lonval, is approaching a certain age when an older associate, Charlotte Peloux, asks Lea to take on her 19 year old son, whom Lea has called Chéri since he was a child. They become lovers and, to their surprise, the relationship lasts six years. When it ends abruptly with a marriage his mother arranges to the daughter of another courtesan, Lea finds herself miserable. Has she fallen in love? If so, do she -- and Chéri - have any choices?"
140,Cirque du Freak: The Vampire's Assistant,109,PG-13,2009-10-23,Paul Weitz,"John C. Reilly, Josh Hutcherson, Chris Massoglia, Ken Watanabe, Ray Stevenson","Teenager Darren Shan is an excellent student and the pride and joy of his perfect middle-class family; his best friend is the reckless Steve. When they receive a flyer with an advertisement for a freak show, they sneak to the theater to see the attractions. The ringmaster is a vampire called Larten Crepsley, that has a lethal spider. After the show, Steve tells Darren to go home. However he returns and overhears Steve unsuccessfully trying to convince Larten to transform him into a vampire. Darren steals Larten's spider which bites Steve later and he seeks out Larten asking for an antidote for his friend. Larten proposes a deal to Darren."
141,Coco Before Chanel,110,PG-13,2009-09-25,"Benoit Poelvoorde, Anne Fontaine","Audrey Tautou, Benoit Poelvoorde, Alessandro Nivola, Marie Gillain, Emmanuelle Devos",The story of Coco Chanel's rise from obscure beginnings to the heights of the fashion world.
142,Coraline,101,PG,2009-02-06,"Pete Kozachik, Henry Selick","Dakota Fanning, Dawn French, Ian McShane, Jennifer Saunders, Keith David","When Coraline moves to an old house, she feels bored and neglected by her parents. She finds a hidden door with a bricked up passage. During the night, she crosses the passage and finds a parallel world where everybody has buttons instead of eyes, with caring parents and all her dreams coming true. When the Other Mother invites Coraline to stay in her world forever, the girl refuses and finds that the alternate reality where she is trapped is only a trick to lure her."
143,Crank 2: High Voltage,85,R,2009-04-17,"Mark Neveldine, Brian Taylor","Jason Statham, Amy Smart, Efren Ramirez, Clifton Collins Jr., Ling Bai",Chelios faces a Chinese mobster who has stolen his nearly indestructible heart and replaced it with a battery-powered ticker that requires regular jolts of electricity to keep working.
144,Crazy Heart,112,R,2009-12-16,Scott Cooper,"Jeff Bridges, Maggie Gyllenhaal, Beth Grant, Robert Duvall, Colin Farrell",A faded country music musician is forced to reassess his dysfunctional life during a doomed romance that also inspires him.
